year,score,votes,budget,runtime,genre_Action,genre_Adventure,genre_Animation,genre_Biography,genre_Comedy,genre_Crime,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Musical,genre_Mystery,genre_Romance,genre_Sci-Fi,genre_Sport,genre_Thriller,genre_Western,director_codif,writer_codif,director_mapped,votos_por_director,gross
2007.0,2.2,15000.0,7000000.0,93.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,740,1137,5.0,15000.0,5713425.0
1987.0,6.4,2900.0,5000000.0,97.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1287,964,4.0,1685.0,1119112.0
1987.0,7.6,128000.0,30000000.0,93.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1405,2142,6.0,142125.0,49530280.0
2006.0,6.5,217000.0,50000000.0,125.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,468,3713,6.0,140500.0,100605135.0
2003.0,5.7,16000.0,40000000.0,98.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,191,4.0,25371.43,26891849.0
1981.0,7.4,27000.0,5500000.0,123.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1921,1384,7.0,176727.27,11492915.0
2011.0,5.4,32000.0,63000000.0,95.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2747,758,4.0,35340.0,183954145.0
1996.0,4.5,32000.0,40000000.0,96.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1390,1581,6.0,29322.22,49627779.0
1988.0,5.9,8200.0,15000000.0,128.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,666,1029,4.0,10866.67,21042667.0
2016.0,6.3,119000.0,4900000.0,81.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,617,1290,6.0,174333.33,148868835.0
2000.0,6.6,60000.0,50000000.0,118.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1087,4369,4.0,34910.0,50054511.0
2009.0,7.8,70000.0,18000000.0,144.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1910,2955,8.0,59428.57,19319671.0
1983.0,7.4,57000.0,8000000.0,132.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1174,2524,6.0,99200.0,108423749.0
2004.0,6.5,247000.0,60000000.0,108.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1738,2686,5.0,279158.33,256697520.0
2005.0,5.5,56000.0,60000000.0,94.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3820,6.0,86111.11,130154568.0
1989.0,6.4,39000.0,24000000.0,109.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1387,3560,4.0,19250.0,22099847.0
2007.0,5.9,11000.0,5000000.0,117.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,583,893,6.0,11000.0,1229330.0
2006.0,8.4,368000.0,2000000.0,137.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,854,1356,7.0,205333.33,77356942.0
2000.0,6.1,9200.0,21000000.0,112.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341,2095,4.0,4850.5,6620242.0
2007.0,5.4,142000.0,175000000.0,96.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2796,4058,5.0,169675.0,174440724.0
2007.0,7.0,121000.0,70000000.0,110.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2172,2865,5.0,162100.0,87019158.0
2012.0,5.4,14000.0,14000000.0,86.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1512,2884,6.0,14000.0,11417362.0
2011.0,6.8,171000.0,32000000.0,139.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2716,4162,5.0,84333.33,58409247.0
